FID,GEOCODIGO,NOMBRE,UTM_X,UTM_Y,GRAD_X,GRAD_Y,PARADA
0.0,BUSTUR01,PLAZA DE ESPAÑA,377849.851947,3149558.26699,-16.2477066514,28.4668929107,1
1.0,BUSTUR2A,ALAMEDA,377914.555875,3149664.48077,-16.2470571148,28.467857501,2A
2.0,BUSTUR02,PUNTO CRUCERO,377921.944379,3150147.00236,-16.2470327943,28.4722127235,2
3.0,BUSTUR03,MUSEO HISTORICO MILITAR,377968.375295,3150442.03531,-16.2465898527,28.474879604,3
4.0,BUSTUR4,PARQUE GARCIA SANABRIA,377269.127496,3150347.11274,-16.2537213645,28.4739573184,4
5.0,BUSTUR4B,PARQUE GARCIA SANABRIA,377346.952224,3150058.08723,-16.2528957468,28.4713563316,4B
6.0,BUSTUR05,PLAZA DE LOS PATOS / VIERA Y CLAVIJO,377089.506643,3149971.9647,-16.2555158353,28.47055487,5
7.0,BUSTUR06,PLAZA PEDRO SCHWARTZ / WEYLER,377005.007998,3149499.587,-16.2563283761,28.4662839277,6
8.0,BUSTUR07,AVENIDA TRES DE MAYO,376907.379284,3148618.52262,-16.2572312942,28.4583235443,7
9.0,BUSTUR08,AUDITORIO ADAN MARTIN Y P_MARITIMO CESAR MANRIQUE,376982.469002,3148169.73038,-16.2564166081,28.4542804961,8
10.0,BUSTUR09,EL CORTE INGLES,377203.932372,3148749.01015,-16.2542168877,28.4595290859,9
11.0,BUSTUR10,ESTACION DE GUAGUAS,377491.970676,3148734.8681,-16.2512739898,28.4594285489,10
12.0,BUSTUR11,MERCADO NUESTRA SEÑORA DE AFRICA / MUSEOS,377484.370271,3149197.57835,-16.2514007941,28.4636035759,11
